店名:江苏饭店	地区:瑞金路沿线，距离常府街地铁站135m	价格:428
店名:南京曙光国际大酒店	地区:火车站/玄武湖，距离火车站140m	价格:428
店名:南京汉府饭店	地区:新街口地区，距离1912420m	价格:579
店名:尚好影院酒店公寓(南京南站天隆寺地铁站店)	地区:雨花台区，距离天隆寺地铁站135m	价格:268
店名:南京水晶蓝湾公寓酒店	地区:百家湖，距离百家湖地铁站235m	价格:488
店名:尚客优品酒店(南京夫子庙大光路店)	地区:秦淮区，距离明故宫地铁站1.9km	价格:256
店名:南京金鹰珠江壹号国际酒店	地区:珠江路沿线，距离珠江路地铁站110m	价格:769
店名:南京山水大酒店	地区:珠江路沿线，距离珠江路340m	价格:420
店名:琵琶山居酒店	地区:紫金山/孝陵卫，距离苜蓿园地铁站1.7km	价格:240
店名:南京涵田城市酒店	地区:夫子庙地区，距离水游城150m	价格:406
店名:雨发生态园酒店	地区:浦口区，距离中华门站23.2km	价格:458
店名:清沐精品酒店(南京万达广场店)	地区:建邺万达，距离集庆门大街地铁站435m	价格:179
店名:漫心南京夫子庙秦淮酒店	地区:升州路/集庆路，距离瞻园420m	价格:558
店名:南京荟枫酒店	地区:江宁科学园，距离天印大道地铁站430m	价格:418
店名:怡华酒店	地区:湖南路，距离紫峰购物广场375m	价格:557
店名:樱空宿	地区:江宁区，距离南京南站16.5km	价格:699
店名:南京凤凰台饭店	地区:湖南路，距离狮子桥340m	价格:691
店名:南京华东饭店	地区:南大/南师大，距离南艺·二师·草场门地铁站540m	价格:403
店名:南京曙光薇酒店(夫子庙店)	地区:夫子庙地区，距离瞻园445m	价格:686
店名:南京禄口机场铂尔曼大酒店	地区:禄口机场，距离禄口机场地铁站100m	价格:861
店名:金汇大酒店(晶丽酒店管理)	地区:常府街/长白街，距离夫子庙地铁站520m	价格:498
店名:南京河西苏宁雅悦酒店	地区:鼓楼区，距离绿博园地铁站1.0km	价格:433
店名:紫玄酒店	地区:南大/南师大，距离紫峰购物广场150m	价格:508
店名:Zsmart智尚酒店(南京夫子庙店)	地区:夫子庙地区，距离水游城235m	价格:402
店名:南京金陵江滨酒店	地区:奥体中心，距离奥体中心地铁站865m	价格:628
店名:南京四方酒店	地区:浦口区，距离南京站14.4km	价格:954
店名:南京上秦淮假日酒店	地区:砂之船奥莱，距离秣周东路地铁站120m	价格:861
店名:美豪酒店(南京新街口地铁站店)	地区:新街口地区，距离时尚莱迪商城275m	价格:549
店名:南京恒大酒店	地区:溧水区，1km内无地铁站	价格:588
店名:南京华江饭店	地区:湖南路，距离山西路640m	价格:346
店名:南京苏宁环球套房饭店	地区:南大/南师大，距离南大700m	价格:618
店名:汉庭优佳(南京玄武门店)	地区:新模范马路，距离新模范马路地铁站80m	价格:293
店名:南京中央饭店	地区:常府街/长白街，距离大行宫地铁站290m	价格:288
店名:南京苏宁雅悦行政公寓(新街口店)	地区:新街口地区，距离时尚莱迪商城385m	价格:467
店名:桔子水晶南京奥体中胜国际博览中心酒店	地区:南京国际博览中心/元通，距离中胜地铁站235m	价格:518
店名:古都文化酒店(南京新街口店)	地区:新街口地区，距离时尚莱迪商城275m	价格:234
店名:南京绿地御豪温泉酒店	地区:汤山镇，距离仙林站16.8km	价格:398
店名:南京中山陵亚朵酒店	地区:苜蓿园，距离苜蓿园地铁站580m	价格:497
店名:南京南站希尔顿欢朋酒店	地区:胜太路，距离胜太西路地铁站475m	价格:598
店名:南京石唯玉·雨花石酒店	地区:升州路/集庆路，距离三山街地铁站525m	价格:699
店名:南京凯铂精品酒店	地区:新街口地区，距离南京中心大酒店245m	价格:428
店名:南京瑞斯丽酒店	地区:江浦，距离中华门站13.5km	价格:534
店名:全季酒店(南京明故宫店)	地区:瑞金路沿线，距离明故宫地铁站385m	价格:460
店名:南京商茂国际酒店	地区:新街口地区，距离新街口85m	价格:512
店名:如家酒店(南京夫子庙地铁站平江府路店)	地区:夫子庙地区，距离夫子庙地铁站345m	价格:303
店名:南京天丰大酒店	地区:新街口地区，距离中山东路140m	价格:420
店名:南京新纪元大酒店(中山路店)	地区:南大/南师大，距离中山路115m	价格:340
店名:维也纳酒店(南京奥体中心店)	地区:奥体中心，距离梦都大街地铁站355m	价格:438
店名:一帘幽梦精品酒店(禄口机场店)	地区:江宁区，距离禄口机场地铁站1.2km	价格:139
店名:漫心南京博览中心酒店	地区:建邺区，距离奥体中心地铁站905m	价格:558
店名:锦江之星(南京新街口朝天宫西街店)	地区:新街口地区，距离金丝利喜来登酒店700m	价格:236
店名:汉庭(南京汉中门地铁站店)	地区:新街口地区，距离汉中门地铁站150m	价格:313
店名:桔子精选南京王府大街酒店	地区:新街口地区，距离新街口地铁站405m	价格:469
店名:南京明发国际大酒店	地区:南京南站/明发，距离明发广场地铁站70m	价格:505
店名:金鹰国仕达酒店(南京新街口地铁站店)	地区:新街口地区，距离南京中心大酒店70m	价格:289
店名:南京上秦淮套房假日酒店	地区:砂之船奥莱，距离秣周东路地铁站270m	价格:1147
店名:桔子精选南京夫子庙酒店	地区:夫子庙地区，距离夫子庙地铁站340m	价格:333
店名:维也纳国际酒店(南京南站中心店)	地区:胜太路，距离胜太西路地铁站270m	价格:324
店名:南京南站百家湖亚朵酒店	地区:胜太路，距离胜太西路地铁站450m	价格:505
店名:全季酒店(南京新街口中心店)	地区:新街口地区，距离时尚莱迪商城365m	价格:499
店名:轻奢美居酒店公寓(奥体升龙汇金儿童医院店)	地区:建邺区，距离永初路地铁站655m	价格:258
店名:锦江之星(南京林业大学花园路店)	地区:火车站/玄武湖，距离蒋王庙社区地铁站550m	价格:228
店名:维也纳国际酒店(南京夫子庙苜蓿园地铁站店)	地区:苜蓿园，距离苜蓿园地铁站2.0km	价格:351
店名:南大国际会议中心	地区:栖霞区，距离南大仙林校区地铁站755m	价格:458
店名:宜必思酒店(南京夫子庙店)	地区:夫子庙地区，距离张府园地铁站430m	价格:313
店名:南京新街口王府大街亚朵酒店	地区:新街口地区，距离金鹰590m	价格:663
店名:桔子精选南京夫子庙建康路酒店	地区:夫子庙地区，距离夫子庙地铁站405m	价格:489
店名:原舍平湖民宿	地区:江宁区，距离禄口国际机场15.6km	价格:871
店名:南京中山陵国际青年旅馆	地区:紫金山/孝陵卫，距离苜蓿园地铁站865m	价格:328
店名:南京卧龙湖温德姆至尊豪廷度假酒店	地区:溧水区，1km内无地铁站	价格:963
店名:蓝金酒店公寓	地区:建邺区，距离永初路地铁站580m	价格:232
店名:南京金丝利喜来登酒店	地区:新街口地区，距离金丝利喜来登酒店15m	价格:665
店名:和颐酒店(南京中山东路明故宫地铁站)	地区:玄武区，距离明故宫地铁站150m	价格:283
店名:子曰温泉民宿(汤山镇店)	地区:汤山镇，距离仙林站15.6km	价格:1000
店名:漾应青春里酒店	地区:秦虹村/中华门，距离中华门站290m	价格:85
店名:南京悦榕国际酒店公寓(南京南站喜马拉雅店)	地区:南京南站/明发，距离南京南站地铁站705m	价格:328
店名:南京丽湖雅致酒店	地区:百家湖，距离胜太路地铁站620m	价格:550
店名:半亩 ·  私汤温泉民宿	地区:汤山镇，距离仙林站15.6km	价格:558
店名:如家精选酒店(南京夫子庙白下路店)	地区:常府街/长白街，距离夫子庙地铁站495m	价格:379
店名:诺阁雅酒店(南京奥体中心店)	地区:南京国际博览中心/元通，距离元通地铁站730m	价格:710
店名:南京喜玛拉雅假日酒店	地区:南京南站/明发，距离宏运大道地铁站670m	价格:713
店名:南京机场睡吧酒店	地区:禄口机场，距离禄口机场地铁站425m	价格:150
店名:南京上元大街亚朵酒店	地区:东山镇，距离河定桥地铁站1.3km	价格:434
店名:南京新华传媒粤海国际酒店	地区:南京国际博览中心/元通，距离元通地铁站485m	价格:690
